date,price
6/11/2015,623.7264
7/11/2015,647.0755
8/11/2015,622.6235
9/11/2015,636.7041
10/11/2015,565.6316
11/11/2015,514.856
12/11/2015,568.1401
13/11/2015,567.375
14/11/2015,557.1891
15/11/2015,538.8542
16/11/2015,556.5658
17/11/2015,563.5485
18/11/2015,564.153
19/11/2015,547.7531
20/11/2015,540.375
21/11/2015,546.7786
22/11/2015,543.8314
23/11/2015,542.9241
24/11/2015,537.9034
25/11/2015,551.2457
26/11/2015,595.7965
27/11/2015,600.0247
28/11/2015,595.738
29/11/2015,619.7242
30/11/2015,630.0402
1/12/2015,605.8812
2/12/2015,598.2777
3/12/2015,602.2093
4/12/2015,607.2092
5/12/2015,653.3784
6/12/2015,658.7386
7/12/2015,659.591
8/12/2015,693.8834
9/12/2015,707.1556
10/12/2015,706.8742
11/12/2015,763.687
12/12/2015,736.1522
13/12/2015,738.6111
14/12/2015,746.9927
15/12/2015,777.6608
16/12/2015,759.8634
17/12/2015,763.4848
18/12/2015,773.8555
19/12/2015,770.5188
20/12/2015,736.8674
21/12/2015,731.5975
22/12/2015,728.5916
23/12/2015,738.6439
24/12/2015,757.6927
25/12/2015,761.165
26/12/2015,698.2028
27/12/2015,709.9821
28/12/2015,704.7364
29/12/2015,722.8862
30/12/2015,714.706
31/12/2015,721.3089
1/01/2016,725.8448
2/01/2016,726.3115
3/01/2016,719.7965
4/01/2016,725.0927
5/01/2016,723.212
6/01/2016,722.3531
7/01/2016,762.0903
8/01/2016,758.9898
9/01/2016,750.7025
10/01/2016,747.7693
11/01/2016,749.6643
12/01/2016,747.4861
13/01/2016,725.109
14/01/2016,720.3237
15/01/2016,618.8599
16/01/2016,648.1618
17/01/2016,652.296
18/01/2016,651.3734
19/01/2016,640.9517
20/01/2016,706.8422
21/01/2016,688.984
22/01/2016,639.0213
23/01/2016,660.8393
24/01/2016,685.9813
25/01/2016,671.1712
26/01/2016,671.6885
27/01/2016,679.0717
28/01/2016,657.9462
29/01/2016,658.5939
30/01/2016,653.2137
31/01/2016,631.0689
1/02/2016,641.1915
2/02/2016,646.2546
3/02/2016,640.4166
4/02/2016,673.9102
5/02/2016,671.0767
6/02/2016,655.8628
7/02/2016,661.5525
8/02/2016,654.9139
9/02/2016,662.9996
10/02/2016,678.5245
11/02/2016,686.3546
12/02/2016,693.2244
13/02/2016,705.8273
14/02/2016,727.2154
15/02/2016,720.8587
16/02/2016,725.1139
17/02/2016,733.4231
18/02/2016,745.1632
19/02/2016,743.8082
20/02/2016,776.8034
21/02/2016,774.9079
22/02/2016,781.053
23/02/2016,752.4934
24/02/2016,761.8037
25/02/2016,759.8528
26/02/2016,765.4829
27/02/2016,776.987
28/02/2016,778.4526
29/02/2016,783.8023
1/03/2016,784.753
2/03/2016,780.7263
3/03/2016,784.1082
4/03/2016,771.4713
5/03/2016,758.9281
6/03/2016,772.7178
7/03/2016,775.4785
8/03/2016,776.9687
9/03/2016,795.372
10/03/2016,796.9005
11/03/2016,804.1513
12/03/2016,807.5893
13/03/2016,821.9153
14/03/2016,803.3581
15/03/2016,809.9299
16/03/2016,807.7106
17/03/2016,798.6063
18/03/2016,779.8274
19/03/2016,774.6736
20/03/2016,780.4809
21/03/2016,793.2024
22/03/2016,797.537
23/03/2016,810.738
24/03/2016,795.7252
25/03/2016,793.3168
26/03/2016,797.9616
27/03/2016,805.6528
28/03/2016,810.3999
29/03/2016,799.9763
30/03/2016,794.9157
31/03/2016,795.3527
1/04/2016,799.6878
2/04/2016,804.4167
3/04/2016,802.4727
4/04/2016,802.7771
5/04/2016,800.3127
6/04/2016,799.5703
7/04/2016,791.7306
8/04/2016,784.98
9/04/2016,780.9417
10/04/2016,776.8572
11/04/2016,778.2018
12/04/2016,774.5715
13/04/2016,775.3352
14/04/2016,781.9661
15/04/2016,787.9214
16/04/2016,793.7535
17/04/2016,795.9914
18/04/2016,795.9061
19/04/2016,806.6785
20/04/2016,814.3272
21/04/2016,826.157
22/04/2016,817.8766
23/04/2016,829.8672
24/04/2016,839.0805
25/04/2016,838.4134
26/04/2016,844.0723
27/04/2016,809.5111
28/04/2016,813.1216
29/04/2016,827.1609
30/04/2016,825.2462
1/05/2016,832.6903
2/05/2016,830.2607
3/05/2016,832.3393
4/05/2016,827.8229
5/05/2016,833.4606
6/05/2016,850.0405
7/05/2016,848.0325
8/05/2016,849.074
9/05/2016,851.7893
10/05/2016,832.3675
11/05/2016,840.7768
12/05/2016,845.8216
13/05/2016,852.3606
14/05/2016,848.6353
15/05/2016,850.9476
16/05/2016,855.9624
17/05/2016,859.9882
18/05/2016,871.5504
19/05/2016,862.2699
20/05/2016,857.2534
21/05/2016,862.1554
22/05/2016,857.47
23/05/2016,856.526
24/05/2016,855.8614
25/05/2016,858.7808
26/05/2016,865.5796
27/05/2016,888.616
28/05/2016,978.1437
29/05/2016,977.6138
30/05/2016,996.8473
31/05/2016,1003.4066
1/06/2016,1015.8334
2/06/2016,1014.3865
3/06/2016,1065.3342
4/06/2016,1069.107
5/06/2016,1072.6511
6/06/2016,1090.4899
7/06/2016,1083.2455
8/06/2016,1091.1605
9/06/2016,1083.2812
10/06/2016,1082.2813
11/06/2016,1112.0686
