DATE,DTB4WK
31/10/2014,0.01
3/11/2014,0.03
4/11/2014,0.04
5/11/2014,0.04
6/11/2014,0.04
7/11/2014,0.04
10/11/2014,0.04
11/11/2014,.
12/11/2014,0.05
13/11/2014,0.05
14/11/2014,0.04
17/11/2014,0.02
18/11/2014,0.04
19/11/2014,0.04
20/11/2014,0.04
21/11/2014,0.04
24/11/2014,0.04
25/11/2014,0.06
26/11/2014,0.06
27/11/2014,.
28/11/2014,0.04
1/12/2014,0.01
2/12/2014,0.04
3/12/2014,0.03
4/12/2014,0.03
5/12/2014,0.02
8/12/2014,0.03
9/12/2014,0.05
10/12/2014,0.05
11/12/2014,0.02
12/12/2014,0.02
15/12/2014,0.02
16/12/2014,0.03
17/12/2014,0.03
18/12/2014,0.04
19/12/2014,0.01
22/12/2014,0.01
23/12/2014,0.02
24/12/2014,0.01
25/12/2014,.
26/12/2014,0.01
29/12/2014,0.01
30/12/2014,0.03
31/12/2014,0.03
1/01/2015,.
2/01/2015,0.02
5/01/2015,0.02
6/01/2015,0.02
7/01/2015,0.02
8/01/2015,0.01
9/01/2015,0.02
12/01/2015,0.02
13/01/2015,0.02
14/01/2015,0.02
15/01/2015,0.03
16/01/2015,0.02
19/01/2015,.
20/01/2015,0.01
21/01/2015,0.01
22/01/2015,0.02
23/01/2015,0.02
26/01/2015,0.02
27/01/2015,0.02
28/01/2015,0.02
29/01/2015,0.01
30/01/2015,0.01
2/02/2015,0.01
3/02/2015,0.02
4/02/2015,0.01
5/02/2015,0.02
6/02/2015,0.01
9/02/2015,0.02
10/02/2015,0.02
11/02/2015,0.02
12/02/2015,0.02
13/02/2015,0.02
16/02/2015,.
17/02/2015,0.02
18/02/2015,0.02
19/02/2015,0.02
20/02/2015,0.02
23/02/2015,0.01
24/02/2015,0.02
25/02/2015,0.02
26/02/2015,0.02
27/02/2015,0.02
2/03/2015,0.02
3/03/2015,0.01
4/03/2015,0.01
5/03/2015,0.02
6/03/2015,0.02
9/03/2015,0.01
10/03/2015,0.03
11/03/2015,0.03
12/03/2015,0.03
13/03/2015,0.03
16/03/2015,0.02
17/03/2015,0.05
18/03/2015,0.02
19/03/2015,0.02
20/03/2015,0
23/03/2015,0.02
24/03/2015,0.03
25/03/2015,0.02
26/03/2015,0.02
27/03/2015,0.02
30/03/2015,0.02
31/03/2015,0.05
1/04/2015,0.02
2/04/2015,0.02
3/04/2015,0.04
6/04/2015,0.02
7/04/2015,0.02
8/04/2015,0.02
9/04/2015,0.02
10/04/2015,0.01
13/04/2015,0.02
14/04/2015,0.02
15/04/2015,0.02
16/04/2015,0.03
17/04/2015,0.03
20/04/2015,0.03
21/04/2015,0.02
22/04/2015,0.01
23/04/2015,0.01
24/04/2015,0.03
27/04/2015,0.01
28/04/2015,-0.02
29/04/2015,-0.02
30/04/2015,-0.01
1/05/2015,0
4/05/2015,0.01
5/05/2015,0.01
6/05/2015,0.02
7/05/2015,0.01
8/05/2015,0.01
11/05/2015,0.02
12/05/2015,0.01
13/05/2015,0.02
14/05/2015,0
15/05/2015,0.02
18/05/2015,0.01
19/05/2015,0.02
20/05/2015,0.02
21/05/2015,0.02
22/05/2015,0.01
25/05/2015,.
26/05/2015,0.01
27/05/2015,0.02
28/05/2015,0.01
29/05/2015,0.01
1/06/2015,0.02
2/06/2015,0.02
3/06/2015,0.02
4/06/2015,0.02
5/06/2015,0.02
8/06/2015,0.01
9/06/2015,0.01
10/06/2015,0.01
11/06/2015,0.01
12/06/2015,0.01
15/06/2015,0
16/06/2015,0
17/06/2015,0
18/06/2015,-0.01
19/06/2015,-0.01
22/06/2015,-0.02
23/06/2015,-0.01
24/06/2015,-0.01
25/06/2015,-0.01
26/06/2015,0
29/06/2015,-0.01
30/06/2015,0.02
